th,82191954206
he,9112438473
in,27799770674
er,324230831
an,29085241508
re,13676064272
on,8364400586
at,4632096352
en,3379510331
nd,7236446
ti,2147768486
es,1051204378
or,5312508408
te,3205516541
of,32360430348
ed,849587935
is,9031299344
it,7555018907
al,6003034247
ar,6424875618
st,7859239625
to,22226470501
nt,10413631
ng,13783981
se,7674775084
ha,9900759288
as,7620135116
ou,2564517637
io,83433285
le,4043542193
ve,1640092150
co,17720707392
me,5325149689
de,8183007142
hi,6832412743
ri,1674573752
ro,2039254483
ic,92018229
ne,4170065476
ea,1883649717
ra,2338918757
ce,1787953760
li,5085286521
ch,4942607276
ll,39688985
be,13192202949
ma,9641091920
si,3712923585
om,66066571
ur,199604930
ca,7339016324
el,1233732784
ta,2358252071
la,4289223460
ns,10941143
di,6424023212
fo,11149689634
ho,3863829003
pe,4376595932
ec,513298050
pr,10477241957
no,9025663599
ct,21883004
us,2326777176
ac,3366641162
ot,1786504716
il,363028566
tr,3908650599
ly,121360771
nc,8535925
et,473953203
ut,181967532
ss,19817584
so,6576226290
rs,20970736
un,4070503465
lo,3819328277
wa,8852313882
ge,2230187113
ie,15839615
wh,10430616004
ee,19162008
wi,9260197748
em,1097951222
ad,2142735786
ol,538119802
rt,8096659
po,4799579109
we,6571607236
na,2023968235
ul,112407162
ni,606826479
ts,22151572
mo,6253154612
ow,717442550
pa,5652090837
im,2096179943
mi,3243364651
ai,482699523
sh,5200314231
ir,383537367
su,5807926161
id,678999306
os,86441517
iv,93640437
ia,18485534
am,1775304516
fi,4499526605
ci,1069842264
vi,1858771673
pl,2398706788
ig,100644932
tu,732031871
ev,2392475327
ld,7397176
ry,16173913
mp,13243927
fe,2145874401
bl,1035693565
ab,2385772257
gh,42149385
ty,459405573
op,1374677378
wo,4863781188
sa,3995420031
ay,17345361
ex,4765671650
ke,635247656
fr,5621876735
oo,14976862
av,516056080
ag,1773675373
if,1570715890
ap,2084578154
gr,3387063486
od,66384504
bo,2982830352
sp,2795524191
rd,7114661
do,3742193239
uc,5875633
bu,4360852264
ei,445202640
ov,1072003806
by,4748221678
rm,5665696
ep,161847304
tt,7230942
oc,669501193
fa,3740840884
ef,796366904
cu,1278128873
rn,13136523
sc,1939213511
gi,1189741300
da,2267991812
yo,3844649484
cr,1873080749
cl,2303821857
du,1196361209
ga,1160311003
qu,1598696806
ue,2937608
ff,18770024
ba,2920173812
ey,284712862
ls,9166363
va,1613137092
um,25021148
pp,23938644
ua,3174087
up,1750039244
lu,325523279
go,2913476948
ht,10586362
ru,970905512
ug,18481682
ds,9088642
lt,26232251
pi,908065459
rc,7019628
rr,3723630
eg,133007943
au,1004108853
ck,1101218
ew,7408543
mu,2136649758
br,2321215978
bi,1099641443
pt,20990662
ak,17813407
pu,1932934252
ui,3110948
rg,3543654
ib,92669701
tl,11306774
ny,26625189
ki,956081443
rk,1220241
ys,840057
ob,1143990667
mm,55181203
fu,1505084482
ph,1060473332
og,10537984
ms,35318758
ye,1511074911
ud,5484504
mb,7664859
ip,22119259
ub,7422486
oi,116017226
rl,3555655
gu,608287374
dr,1307706120
hr,13171866
cc,17784935
tw,1349908811
ft,24220873
wn,1125500
nu,894421176
af,1519444047
hu,1090915313
nn,3717003
eo,11322636
vo,827793681
rv,2307198
nf,3877360
xp,2214219
gn,15149258
sm,750903135
fl,1096925901
iz,3537263
ok,37283988
nl,4520130
my,1319032489
gl,523305878
aw,442975682
ju,1381389518
oa,57464857
eq,516191562
sy,1056294122
sl,686637092
ps,241868307
jo,1115075857
lf,6018687
nv,1182377
je,469926275
nk,2692863
kn,1231649714
gs,4337017
dy,137503800
hy,279987202
ze,105044562
ks,2872608
xt,1371647
bs,5503349
ik,5182217
dd,5925203
cy,167389237
rp,8676436
sk,342493709
xi,65878777
oe,18480551
oy,6654801
ws,2688630
lv,3835535
dl,8500304
rf,6897159
eu,281835532
dg,1551641
wr,800161510
xa,3025424
yi,81521116
nm,13891747
eb,15149954
rb,3751984
tm,5663510
xc,1387322
eh,7727014
tc,12203901
gy,23226788
ja,640482829
hn,955441
yp,1043926
za,25351579
gg,920475
ym,1335185
sw,410049091
bj,3053941
lm,3506323
cs,14392889
ii,317207507
ix,19538338
xe,7283680
oh,96850139
lk,1045465
dv,4319913
lp,4471006
ax,69928920
ox,139430351
uf,3072746
dm,7942842
iu,6602440
sf,4567639
bt,4568837
ka,200395463
yt,1353977
ek,2948771
pm,11110307
ya,114017843
gt,2591306
wl,2999363
rh,105057621
yl,486305
hs,11464935
ah,69936437
yc,357867
yn,434072
rw,3020876
hm,7937823
lw,707426
hl,3763884
ae,61971676
zi,41899795
az,16530510
lc,6388289
py,37742910
aj,5879585
iq,4840057
nj,7614450
bb,6650106
nh,4463560
uo,980723
kl,23962276
lr,3011622
tn,10884760
gm,10442890
sn,134284730
nr,6877880
fy,2430848
mn,8598425
dw,51888813
sb,4476233
yr,4343546
dn,31250086
sq,149649891
zo,80235070
oj,4175902
yd,1229259
lb,13346655
wt,6455701
lg,1471825
ko,98333934
np,8786924
sr,18195788
nq,207872
ky,9216407
ln,23912206
nw,2932397
tf,3085477
fs,5109914
cq,681762
dh,10222140
sd,9774558
vy,2178522
dj,2984054
hw,2206974
xu,1811603
ao,14436057
ml,32706905
uk,25490391
uy,199016
ej,10924168
ez,7021267
hb,3647744
nz,642025
nb,5018674
mc,108321849
yb,391658
tp,4007007
xh,1047597
ux,800468
tz,2368435
bv,4620660
mf,3309261
wd,1617747
oz,9937696
yw,355947
kh,30517272
gd,11144077
bm,5092649
mr,64834484
ku,43399549
uv,5248522
dt,6102149
hd,3399065
aa,21461108
xx,54846916
df,4631589
db,9025644
ji,50130522
kr,36697497
xo,977967
cm,49529942
zz,222214
nx,375328
yg,216533
xy,4109912
kg,17048577
tb,10309143
dc,22562910
bd,4649423
sg,2951550
wy,15572012
zy,2021329
aq,28461835
hf,2060797
cd,25373072
vu,33500602
kw,6615058
zu,33605620
bn,3352137
ih,12300416
tg,2242033
xv,34775797
uz,1939475
bc,12360566
xf,222248
yz,185888
km,18703225
dp,5232301
lh,4693967
wf,825009
kf,575154
pf,6390484
cf,34579806
mt,13183724
yu,29077384
cp,20327375
pb,6026580
td,3292332
zl,515733
sv,7686365
hc,6271511
mg,31986881
pw,1783827
gf,1609214
pd,9059191
pn,15719853
pc,21301623
rx,761248
tv,22396425
ij,1766367
wm,6078211
uh,4146633
wk,1034614
wb,1945697
bh,14777709
oq,208876
kt,1582388
rq,350884
kb,3550212
cg,3583734
vr,3631882
cn,9421467
pk,3128071
uu,485980
yf,368571
wp,1961563
cz,17576991
kp,2196999
dq,412178
wu,10867130
fm,5168988
wc,3311271
md,10217153
kd,2372377
zh,10682193
gw,4801917
rz,193671
cb,9955106
iw,2071395
xl,9143370
hp,5961270
mw,2999418
vs,6549033
fc,8304641
rj,2709000
bp,6733757
mh,6295141
hh,1369711
yh,849465
uj,949271
fg,1070208
fd,9193424
gb,1936804
pg,4128239
tk,1518294
kk,854314
hq,1102839
fn,2479222
lz,273446
vl,7374909
gp,7035249
hz,4310709
dk,1029760
yk,150247
qi,4465894
lx,8225350
vd,1620222
zs,332525
bw,938415
xq,179783
mv,3678047
uw,631767
hg,3614292
fb,6591558
sj,2299350
ww,4464739
gk,609890
uq,114216
bg,1275848
sz,2299945
jr,5549278
ql,840170
zt,507191
hk,1103874
vc,4049565
xm,5298517
gc,3788581
fw,1012619
pz,385807
kc,3116690
hv,1193129
xw,0
zw,4743402
fp,2514749
iy,1046131
pv,4901191
vt,2919653
jp,3398589
cv,4364535
zb,495148
vp,3835281
zr,595478
fh,2396475
yv,2572276
zg,0
zm,176790
zv,607010
qs,614268
kv,1996097
vn,2630679
zn,2583491
qa,3946147
yx,117014
jn,3028541
bf,1226885
mk,1843588
cw,3432762
jm,2781428
lq,221015
jh,2932074
kj,1942327
jc,3098846
gz,103696
js,3084967
tx,3155791
fk,372831
jl,2689697
vm,2289682
lj,2064198
tj,2412807
jj,2254647
cj,1958748
vg,1153832
mj,2231781
jt,2527435
pj,1838634
wg,624288
vh,2476899
bk,2130785
vv,1428635
jd,2174319
tq,1052493
vb,2061923
jf,2293417
dz,542632
xb,236706
jb,1649860
zc,122291
fj,2065436
yy,320837
qn,325391
xs,1061175
qr,1542968
jk,718119
jv,992870
qq,238901
xn,714320
vf,882216
px,766841
zd,169873
qt,1385505
zp,151085
qo,1324363
dx,1194953
hj,1282370
gv,629166
jw,1165914
qc,1127399
jy,441927
gj,842635
qb,393057
pq,775424
jg,1034900
bz,678093
mx,994334
qm,401990
mz,385785
qf,751195
wj,914179
zq,0
xr,785460
zk,124943
cx,876736
fx,812116
fv,635886
bx,481180
vw,742188
vj,724370
mq,324438
qv,454962
zf,143954
qe,572443
yj,238504
gx,173606
kx,286103
xg,344461
qd,519921
xj,511074
sx,503772
vz,501189
vx,449854
wv,389123
yq,0
bq,229849
gq,151315
vk,337545
zj,174872
xk,281255
qp,272180
hx,263997
fz,154428
qh,104449
qj,236928
jz,109326
vq,212856
kq,187242
xd,168263
qw,163292
jx,161750
qx,159505
kz,150760
wx,150637
fq,149430
xz,136521
zx,108224
